Dependents,ApplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_Male,Gender_nan,Married_Yes,Married_nan,Self_Employed_Yes,Self_Employed_nan,Education_Not Graduate,Property_Area_Semiurban,Property_Area_Urban,Loan_Status_Y,TotalIncome
0,1.084523214,1.058140147,0.75,1,1,0,0,0,0,0,0,0,1,1,0.841085716
0.333333333,0.925882968,1.047318994,0.75,1,1,0,1,0,0,0,0,0,0,0,0.871710972
0,0.683858242,0.635920365,0.75,1,1,0,1,0,1,0,0,0,1,1,0.38518942
0,0.608992202,1.002823958,0.75,1,1,0,1,0,0,0,1,0,1,1,0.717011603
0,1.101868905,1.115649785,0.75,1,1,0,0,0,0,0,0,0,1,1,0.860304613
0.666666667,1.033169236,1.610445157,0.75,1,1,0,1,0,1,0,0,0,1,1,1.23562847
0,0.561264569,0.849455001,0.75,1,1,0,1,0,0,0,1,0,1,1,0.544003871
1,0.690066175,1.1984927,0.75,0,1,0,1,0,0,0,0,1,0,0,0.800566701
0.666666667,0.8442893,1.244199273,0.75,1,1,0,1,0,0,0,0,0,1,1,0.799495549
0.333333333,1.677956293,1.836789651,0.75,1,1,0,1,0,0,0,0,1,0,0,2.037432777
0.666666667,0.717869053,0.668226829,0.75,1,1,0,1,0,0,0,0,0,1,1,0.552786292
0.666666667,0.593397856,0.938219081,0.75,1,1,0,1,0,0,1,0,0,1,1,0.625514454
0.666666667,0.696406644,1.377828393,0.75,1,1,0,1,0,0,0,0,0,1,1,1.36282147
0,0.462704131,0.968103271,0.75,1,1,0,0,0,0,0,0,0,0,0,0.680264509
0.666666667,0.335382158,0.121394079,0.25,1,1,0,1,0,0,0,0,0,1,1,0.252022663
0,0.974517603,1.030864489,0.75,1,1,0,0,0,0,0,0,0,1,1,0.718320105
0.333333333,0.781978523,0.882068359,0.5,1,1,0,0,0,0,0,1,0,1,1,0.49925797
0,0.768400903,0.714810062,0.75,0,0,0,0,0,0,0,0,0,1,0,0.483580217
0,0.966335261,1.074155436,0.75,1,1,0,1,0,0,0,1,0,0,0,0.709124427
